,FP,TC,Importe,IVA,RET ISR,RET IVA,Otros
0,44.0,1.0,0.0,0.0,0.0,0.0,
1,44.0,1.0,0.0,0.0,0.0,0.0,
2,99.0,1.0,5551.38,888.22,0.0,0.0,
3,99.0,1.0,5551.98,888.32,0.0,0.0,
4,99.0,1.0,8454.37,176.8,0.0,0.0,
5,3.0,1.0,490.0,78.4,0.0,0.0,
6,3.0,1.0,0.0,0.0,0.0,0.0,
7,99.0,1.0,4543.1,726.9,0.0,0.0,
8,3.0,1.0,1717.25,0.0,0.0,0.0,
9,44.0,1.0,0.0,0.0,0.0,0.0,
10,44.0,1.0,0.0,0.0,0.0,0.0,
11,44.0,1.0,0.0,0.0,0.0,0.0,
12,44.0,1.0,0.0,0.0,0.0,0.0,
13,44.0,1.0,0.0,0.0,0.0,0.0,
14,4.0,1.0,2265.8399999999997,37.11,0.0,0.0,
15,3.0,1.0,0.0,0.0,0.0,0.0,
16,44.0,1.0,0.0,0.0,0.0,0.0,
17,99.0,1.0,2623.03,401.28,0.0,0.0,
18,3.0,1.0,428.0,68.48,0.0,0.0,
19,3.0,1.0,5000.0,0.0,0.0,0.0,
20,3.0,1.0,1521.5,0.0,0.0,0.0,
21,3.0,1.0,0.0,0.0,0.0,0.0,
22,3.0,1.0,0.0,0.0,0.0,0.0,
23,99.0,1.0,2223.0,355.68,0.0,0.0,
24,99.0,1.0,1960.0,313.6,0.0,0.0,
25,44.0,1.0,0.0,0.0,0.0,0.0,
26,3.0,1.0,2231.7,357.07,0.0,0.0,
27,1.0,1.0,107.82,17.25,0.0,0.0,
28,3.0,1.0,1452.0,232.32,0.0,0.0,
29,4.0,1.0,750.98,44.32,0.0,0.0,
30,4.0,1.0,349.0,0.0,0.0,0.0,
31,99.0,1.0,1521.5,176.8,0.0,0.0,
32,1.0,1.0,604.73,96.76,0.0,0.0,
33,44.0,1.0,0.0,0.0,0.0,0.0,
34,44.0,1.0,0.0,0.0,0.0,0.0,
35,44.0,1.0,0.0,0.0,0.0,0.0,
36,1.0,1.0,406.55,65.05,0.0,0.0,
37,99.0,1.0,6847.94,1095.67,0.0,0.0,
38,3.0,1.0,335.0,53.6,0.0,0.0,
39,44.0,1.0,0.0,0.0,0.0,0.0,
40,99.0,1.0,3900.0,624.0,0.0,0.0,
41,99.0,1.0,1521.5,176.8,0.0,0.0,
